prediction,actual_result,,,
WIN,WIN,1,,0.464028777
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
LOSE,LOSE,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
LOSE,LOSE,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
LOSE,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
LOSE,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
LOSE,WIN,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
LOSE,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
LOSE,WIN,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
LOSE,LOSE,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
LOSE,LOSE,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
LOSE,LOSE,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
LOSE,LOSE,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
LOSE,DRAW,0,,
LOSE,LOSE,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
LOSE,DRAW,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
LOSE,DRAW,0,,
WIN,LOSE,0,,
LOSE,LOSE,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
LOSE,WIN,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
LOSE,WIN,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
LOSE,DRAW,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,DRAW,0,,
LOSE,LOSE,1,,
LOSE,LOSE,1,,
LOSE,LOSE,1,,
WIN,WIN,1,,
WIN,LOSE,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,WIN,1,,
LOSE,LOSE,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,WIN,1,,
LOSE,WIN,0,,
WIN,LOSE,0,,
WIN,DRAW,0,,
WIN,DRAW,0,,
WIN,WIN,1,,
WIN,WIN,1,,
WIN,DRAW,0,,
WIN,LOSE,0,,
